lesson,status,date, link, reviews 24h,reviews 3d,reviews 7d, reviews 15d,reviews 30d
L5 No wrong numbers,done ,2024/10/15, {./L5.norg},,,,,
L6 Percy Buttons ,todo ,2024/10/15, {./L6.norg},,,,,
L7 Too late ,done ,2024/10/15, {./L7.norg},,,,,
L8 The best and the worst ,todo ,2024/10/15, {./L8.norg},,,,,
L9 The best and the worst ,todo ,2024/10/15, {./L9.norg},,,,,
L10 A cold welcome ,done ,2024/10/15, {./L10.norg},,,,,
L11 A cold welcome ,done ,2024/10/15, {./L11.norg},,,,,
L12 A cold welcome ,done ,2024/10/15, {./L12.norg},,,,,
L13 A cold welcome ,done ,2024/10/15, {./L13.norg},,,,,
L14 A cold welcome ,done ,2024/10/15, {./L14.norg},,,,,
L15 A cold welcome ,done ,2024/10/15, {./L15.norg},,,,,
L16 A cold welcome ,done ,2024/10/15, {./L16.norg},,,,,
L17 A cold welcome ,done ,2024/10/15, {./L17.norg},,,,,
L18 A cold welcome ,done ,2024/10/15, {./L18.norg},,,,,
L19 A cold welcome ,done ,2024/10/15, {./L19.norg},,,,,

